               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.070181,            0.022728,            0.018486,             0.61832,             0.77977,             0.75898,             0.31423,            0.072628,            0.013788,            0.012637,           0.0084754,           0.0084754,           0.0084754
                  79,            0.069524,            0.025256,            0.018364,             0.58252,             0.72811,             0.72387,             0.32558,            0.070872,            0.013256,            0.010841,           0.0084556,           0.0084556,           0.0084556
                  80,            0.070108,            0.024118,            0.016643,             0.58252,             0.72811,             0.72387,             0.32558,            0.070872,            0.013256,            0.010841,           0.0084358,           0.0084358,           0.0084358
                  81,            0.067533,            0.023145,            0.016486,             0.64726,             0.80339,             0.82917,             0.38088,            0.065468,            0.013587,            0.010844,            0.008416,            0.008416,            0.008416
                  82,            0.062096,            0.025472,            0.016296,             0.69993,             0.90519,             0.83154,             0.42425,            0.057877,            0.014651,            0.010919,           0.0083962,           0.0083962,           0.0083962
                  83,             0.05824,            0.026153,            0.016452,             0.68319,             0.97006,              0.7628,             0.36197,            0.059734,            0.015131,            0.010515,           0.0083764,           0.0083764,           0.0083764
                  84,            0.067945,            0.025042,            0.015738,             0.68319,             0.97006,              0.7628,             0.36197,            0.059734,            0.015131,            0.010515,           0.0083566,           0.0083566,           0.0083566
                  85,            0.061823,            0.023761,            0.015539,             0.72484,             0.93847,             0.85108,             0.47694,            0.051337,            0.014005,            0.010225,           0.0083368,           0.0083368,           0.0083368
                  86,            0.061838,             0.02368,            0.015681,             0.66076,              0.8155,             0.84813,             0.34856,            0.061558,            0.014284,            0.010389,            0.008317,            0.008317,            0.008317
                  87,            0.062325,            0.022889,            0.014995,             0.63075,             0.91937,             0.66548,             0.33894,            0.062524,            0.014305,            0.010011,           0.0082972,           0.0082972,           0.0082972
                  88,            0.061946,            0.023694,            0.015355,             0.63075,             0.91937,             0.66548,             0.33894,            0.062524,            0.014305,            0.010011,           0.0082774,           0.0082774,           0.0082774
                  89,            0.054841,            0.020713,             0.01385,             0.69896,             0.91005,             0.78825,             0.45209,            0.054206,            0.014004,            0.009931,           0.0082576,           0.0082576,           0.0082576
                  90,            0.055303,            0.024018,            0.015019,             0.75867,              0.8706,              0.8765,             0.43895,            0.053507,            0.014713,            0.010274,           0.0082378,           0.0082378,           0.0082378
                  91,            0.059663,            0.026327,            0.015908,             0.83277,             0.91413,             0.89928,             0.39011,            0.056487,            0.014521,            0.010184,            0.008218,            0.008218,            0.008218
                  92,            0.057831,            0.021641,            0.014452,             0.83277,             0.91413,             0.89928,             0.39011,            0.056487,            0.014521,            0.010184,           0.0081982,           0.0081982,           0.0081982
                  93,            0.055486,            0.023592,            0.015447,              0.8592,             0.90772,             0.94222,             0.54093,            0.044473,            0.014197,            0.010411,           0.0081784,           0.0081784,           0.0081784
                  94,            0.055847,            0.025888,             0.01519,             0.60955,             0.88898,             0.77177,              0.4235,            0.059831,            0.014845,             0.01086,           0.0081586,           0.0081586,           0.0081586
